id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
20885325,https://www.airbnb.com/rooms/20885325,Rental unit in Munich · ★4.86 · 1 bedroom · 2 beds · 1 bath,,150001196,Jessica & Anis,2017-09-10,"Munich, Germany",,,,f,Ramersdorf - Perlach,1,1,f,"Munich, Bayern, Germany",Ramersdorf-Perlach,48.08783,11.6423,Entire rental unit,Entire home/apt,4,1 bath,2,$96.00,300,300,14,2017-09-16,2019-06-06,4.86,4.86,4.71,4.86,5.0,4.64,4.43,f,1,1,0,0,0.18
774703512042998618,https://www.airbnb.com/rooms/774703512042998618,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,,192108988,Peter,2018-05-28,"Munich, Germany",,,100%,t,,1,1,t,"Munich, Bayern, Germany",Maxvorstadt,48.152637223754546,11.563598046032707,Private room in rental unit,Private room,2,1 shared bath,1,$55.00,4,1125,9,2023-01-18,2023-05-28,5.0,4.89,4.67,4.89,4.89,5.0,4.89,f,1,0,1,0,0.79
770682684831069895,https://www.airbnb.com/rooms/770682684831069895,Rental unit in Munich · ★4.82 · 1 bedroom · 1 bed · 1 bath,,114532971,Julio,2017-02-02,"Munich, Germany",a few days or more,0%,67%,f,,1,1,t,"Munich, Bayern, Germany",Schwanthalerhöhe,48.13551,11.54669,Entire rental unit,Entire home/apt,4,1 bath,1,,1,1125,11,2022-12-08,2023-10-02,4.82,4.91,4.55,4.64,5.0,4.91,4.64,f,1,1,0,0,0.86
778279424432181599,https://www.airbnb.com/rooms/778279424432181599,Rental unit in Munich · 1 bedroom · 1 bed · 2 baths,,158506747,Gabriel,2017-11-13,"Munich, Germany",,,29%,f,,1,1,t,,Untergiesing-Harlaching,48.112204213788544,11.56594142317772,Entire rental unit,Entire home/apt,4,2 baths,1,,4,365,1,2023-02-22,2023-02-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.10
779638063050774464,https://www.airbnb.com/rooms/779638063050774464,Home in Munich · ★4.94 · 1 bedroom · 2 beds · 2 baths,,223377277,Steffi,2018-10-30,"Munich, Germany",within a few hours,100%,100%,t,,2,2,t,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.07618,11.4893,Private room in home,Private room,2,2 baths,2,,1,365,18,2022-12-31,2023-12-02,4.94,5.0,5.0,4.89,4.89,4.89,4.94,f,2,0,2,0,1.50
963722032348210065,https://www.airbnb.com/rooms/963722032348210065,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,75535862,Florian,2016-06-03,"Munich, Germany",within a day,100%,72%,f,,2,2,t,,Obergiesing,48.10341059103659,11.59476279416376,Entire rental unit,Entire home/apt,4,1 bath,1,,3,20,0,,,,,,,,,,f,2,1,1,0,
914365426092202740,https://www.airbnb.com/rooms/914365426092202740,Rental unit in Munich · ★4.78 · 1 bedroom · 1 bed · 1 bath,,164225004,Ramona,2017-12-26,,within an hour,100%,100%,f,Ludwigsvorstadt - Isarvorstadt,19,19,t,"Munich, Bayern, Germany",Ludwigsvorstadt-Isarvorstadt,48.13633,11.55503,Entire rental unit,Entire home/apt,2,1 bath,1,$55.00,240,365,9,2023-06-23,2023-10-01,4.78,4.78,4.56,4.89,4.78,4.56,4.56,t,19,19,0,0,1.44
964179337194856679,https://www.airbnb.com/rooms/964179337194856679,Rental unit in Munich · ★4.33 · 1 bedroom · 2 beds · 1 bath,,402213187,Lydia,2021-05-18,,,,21%,f,,1,1,f,,Maxvorstadt,48.1520214,11.5645426,Entire rental unit,Entire home/apt,4,1 bath,2,$264.00,2,365,3,2023-09-22,2023-10-03,4.33,5.0,4.0,5.0,5.0,5.0,4.33,f,1,1,0,0,0.94
916664155503546921,https://www.airbnb.com/rooms/916664155503546921,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,2476446,Julian,2012-05-27,"Munich, Germany",,,100%,f,,2,6,t,"Munich, Bayern, Germany",Neuhausen-Nymphenburg,48.16494315733034,11.537359077421312,Entire rental unit,Entire home/apt,2,1 bath,1,,1,365,1,2023-06-21,2023-06-21,5.0,4.0,5.0,5.0,5.0,4.0,4.0,t,2,2,0,0,0.16
964532544384854293,https://www.airbnb.com/rooms/964532544384854293,Rental unit in Munich · 2 bedrooms · 2 beds · 1 bath,,96782449,Manuel,2016-09-26,"Munich, Germany",within an hour,100%,20%,f,,1,2,t,,Maxvorstadt,48.15360791731926,11.576326376359368,Entire rental unit,Entire home/apt,4,1 bath,2,,4,21,0,,,,,,,,,,f,1,1,0,0,
